date_key,calendar_date,cal_year,cal_month,cal_day,day_of_week,day_of_week_num,is_weekend,month_name,month_sort_key
19340401,1934-04-01,1934,4,1,Sunday,7,True,Apr 1934,1934-04
19340402,1934-04-02,1934,4,2,Monday,1,False,Apr 1934,1934-04
19340403,1934-04-03,1934,4,3,Tuesday,2,False,Apr 1934,1934-04
19340404,1934-04-04,1934,4,4,Wednesday,3,False,Apr 1934,1934-04
19340405,1934-04-05,1934,4,5,Thursday,4,False,Apr 1934,1934-04
19340406,1934-04-06,1934,4,6,Friday,5,False,Apr 1934,1934-04
19340407,1934-04-07,1934,4,7,Saturday,6,True,Apr 1934,1934-04
19340408,1934-04-08,1934,4,8,Sunday,7,True,Apr 1934,1934-04
19340409,1934-04-09,1934,4,9,Monday,1,False,Apr 1934,1934-04
19340410,1934-04-10,1934,4,10,Tuesday,2,False,Apr 1934,1934-04
19340411,1934-04-11,1934,4,11,Wednesday,3,False,Apr 1934,1934-04
19340412,1934-04-12,1934,4,12,Thursday,4,False,Apr 1934,1934-04
19340413,1934-04-13,1934,4,13,Friday,5,False,Apr 1934,1934-04
19340414,1934-04-14,1934,4,14,Saturday,6,True,Apr 1934,1934-04
19340415,1934-04-15,1934,4,15,Sunday,7,True,Apr 1934,1934-04
19340416,1934-04-16,1934,4,16,Monday,1,False,Apr 1934,1934-04
19340417,1934-04-17,1934,4,17,Tuesday,2,False,Apr 1934,1934-04
19340418,1934-04-18,1934,4,18,Wednesday,3,False,Apr 1934,1934-04
19340419,1934-04-19,1934,4,19,Thursday,4,False,Apr 1934,1934-04
19340420,1934-04-20,1934,4,20,Friday,5,False,Apr 1934,1934-04
19340421,1934-04-21,1934,4,21,Saturday,6,True,Apr 1934,1934-04
19340422,1934-04-22,1934,4,22,Sunday,7,True,Apr 1934,1934-04
19340423,1934-04-23,1934,4,23,Monday,1,False,Apr 1934,1934-04
19340424,1934-04-24,1934,4,24,Tuesday,2,False,Apr 1934,1934-04
19340425,1934-04-25,1934,4,25,Wednesday,3,False,Apr 1934,1934-04
19340426,1934-04-26,1934,4,26,Thursday,4,False,Apr 1934,1934-04
19340427,1934-04-27,1934,4,27,Friday,5,False,Apr 1934,1934-04
19340428,1934-04-28,1934,4,28,Saturday,6,True,Apr 1934,1934-04
19340429,1934-04-29,1934,4,29,Sunday,7,True,Apr 1934,1934-04
19340430,1934-04-30,1934,4,30,Monday,1,False,Apr 1934,1934-04
19340501,1934-05-01,1934,5,1,Tuesday,2,False,May 1934,1934-05
19340502,1934-05-02,1934,5,2,Wednesday,3,False,May 1934,1934-05
19340503,1934-05-03,1934,5,3,Thursday,4,False,May 1934,1934-05
19340504,1934-05-04,1934,5,4,Friday,5,False,May 1934,1934-05
19340505,1934-05-05,1934,5,5,Saturday,6,True,May 1934,1934-05
19340506,1934-05-06,1934,5,6,Sunday,7,True,May 1934,1934-05
19340507,1934-05-07,1934,5,7,Monday,1,False,May 1934,1934-05
19340508,1934-05-08,1934,5,8,Tuesday,2,False,May 1934,1934-05
19340509,1934-05-09,1934,5,9,Wednesday,3,False,May 1934,1934-05
19340510,1934-05-10,1934,5,10,Thursday,4,False,May 1934,1934-05
19340511,1934-05-11,1934,5,11,Friday,5,False,May 1934,1934-05
19340512,1934-05-12,1934,5,12,Saturday,6,True,May 1934,1934-05
19340513,1934-05-13,1934,5,13,Sunday,7,True,May 1934,1934-05
19340514,1934-05-14,1934,5,14,Monday,1,False,May 1934,1934-05
19340515,1934-05-15,1934,5,15,Tuesday,2,False,May 1934,1934-05
19340516,1934-05-16,1934,5,16,Wednesday,3,False,May 1934,1934-05
19340517,1934-05-17,1934,5,17,Thursday,4,False,May 1934,1934-05
19340518,1934-05-18,1934,5,18,Friday,5,False,May 1934,1934-05
19340519,1934-05-19,1934,5,19,Saturday,6,True,May 1934,1934-05
19340520,1934-05-20,1934,5,20,Sunday,7,True,May 1934,1934-05
19340521,1934-05-21,1934,5,21,Monday,1,False,May 1934,1934-05
19340522,1934-05-22,1934,5,22,Tuesday,2,False,May 1934,1934-05
19340523,1934-05-23,1934,5,23,Wednesday,3,False,May 1934,1934-05
19340524,1934-05-24,1934,5,24,Thursday,4,False,May 1934,1934-05
19340525,1934-05-25,1934,5,25,Friday,5,False,May 1934,1934-05
19340526,1934-05-26,1934,5,26,Saturday,6,True,May 1934,1934-05
19340527,1934-05-27,1934,5,27,Sunday,7,True,May 1934,1934-05
19340528,1934-05-28,1934,5,28,Monday,1,False,May 1934,1934-05
19340529,1934-05-29,1934,5,29,Tuesday,2,False,May 1934,1934-05
19340530,1934-05-30,1934,5,30,Wednesday,3,False,May 1934,1934-05
19340531,1934-05-31,1934,5,31,Thursday,4,False,May 1934,1934-05
19340601,1934-06-01,1934,6,1,Friday,5,False,Jun 1934,1934-06
19340602,1934-06-02,1934,6,2,Saturday,6,True,Jun 1934,1934-06
19340603,1934-06-03,1934,6,3,Sunday,7,True,Jun 1934,1934-06
19340604,1934-06-04,1934,6,4,Monday,1,False,Jun 1934,1934-06
19340605,1934-06-05,1934,6,5,Tuesday,2,False,Jun 1934,1934-06
19340606,1934-06-06,1934,6,6,Wednesday,3,False,Jun 1934,1934-06
19340607,1934-06-07,1934,6,7,Thursday,4,False,Jun 1934,1934-06
19340608,1934-06-08,1934,6,8,Friday,5,False,Jun 1934,1934-06
19340609,1934-06-09,1934,6,9,Saturday,6,True,Jun 1934,1934-06
19340610,1934-06-10,1934,6,10,Sunday,7,True,Jun 1934,1934-06
19340611,1934-06-11,1934,6,11,Monday,1,False,Jun 1934,1934-06
19340612,1934-06-12,1934,6,12,Tuesday,2,False,Jun 1934,1934-06
19340613,1934-06-13,1934,6,13,Wednesday,3,False,Jun 1934,1934-06
19340614,1934-06-14,1934,6,14,Thursday,4,False,Jun 1934,1934-06
19340615,1934-06-15,1934,6,15,Friday,5,False,Jun 1934,1934-06
19340616,1934-06-16,1934,6,16,Saturday,6,True,Jun 1934,1934-06
19340617,1934-06-17,1934,6,17,Sunday,7,True,Jun 1934,1934-06
19340618,1934-06-18,1934,6,18,Monday,1,False,Jun 1934,1934-06
19340619,1934-06-19,1934,6,19,Tuesday,2,False,Jun 1934,1934-06
19340620,1934-06-20,1934,6,20,Wednesday,3,False,Jun 1934,1934-06
19340621,1934-06-21,1934,6,21,Thursday,4,False,Jun 1934,1934-06
19340622,1934-06-22,1934,6,22,Friday,5,False,Jun 1934,1934-06
19340623,1934-06-23,1934,6,23,Saturday,6,True,Jun 1934,1934-06
19340624,1934-06-24,1934,6,24,Sunday,7,True,Jun 1934,1934-06
19340625,1934-06-25,1934,6,25,Monday,1,False,Jun 1934,1934-06
19340626,1934-06-26,1934,6,26,Tuesday,2,False,Jun 1934,1934-06
19340627,1934-06-27,1934,6,27,Wednesday,3,False,Jun 1934,1934-06
19340628,1934-06-28,1934,6,28,Thursday,4,False,Jun 1934,1934-06
19340629,1934-06-29,1934,6,29,Friday,5,False,Jun 1934,1934-06
19340630,1934-06-30,1934,6,30,Saturday,6,True,Jun 1934,1934-06
19340701,1934-07-01,1934,7,1,Sunday,7,True,Jul 1934,1934-07
19340702,1934-07-02,1934,7,2,Monday,1,False,Jul 1934,1934-07
19340703,1934-07-03,1934,7,3,Tuesday,2,False,Jul 1934,1934-07
19340704,1934-07-04,1934,7,4,Wednesday,3,False,Jul 1934,1934-07
19340705,1934-07-05,1934,7,5,Thursday,4,False,Jul 1934,1934-07
19340706,1934-07-06,1934,7,6,Friday,5,False,Jul 1934,1934-07
19340707,1934-07-07,1934,7,7,Saturday,6,True,Jul 1934,1934-07
19340708,1934-07-08,1934,7,8,Sunday,7,True,Jul 1934,1934-07
19340709,1934-07-09,1934,7,9,Monday,1,False,Jul 1934,1934-07
19340710,1934-07-10,1934,7,10,Tuesday,2,False,Jul 1934,1934-07
19340711,1934-07-11,1934,7,11,Wednesday,3,False,Jul 1934,1934-07
19340712,1934-07-12,1934,7,12,Thursday,4,False,Jul 1934,1934-07
19340713,1934-07-13,1934,7,13,Friday,5,False,Jul 1934,1934-07
19340714,1934-07-14,1934,7,14,Saturday,6,True,Jul 1934,1934-07
19340715,1934-07-15,1934,7,15,Sunday,7,True,Jul 1934,1934-07
19340716,1934-07-16,1934,7,16,Monday,1,False,Jul 1934,1934-07
19340717,1934-07-17,1934,7,17,Tuesday,2,False,Jul 1934,1934-07
19340718,1934-07-18,1934,7,18,Wednesday,3,False,Jul 1934,1934-07
19340719,1934-07-19,1934,7,19,Thursday,4,False,Jul 1934,1934-07
19340720,1934-07-20,1934,7,20,Friday,5,False,Jul 1934,1934-07
19340721,1934-07-21,1934,7,21,Saturday,6,True,Jul 1934,1934-07
19340722,1934-07-22,1934,7,22,Sunday,7,True,Jul 1934,1934-07
19340723,1934-07-23,1934,7,23,Monday,1,False,Jul 1934,1934-07
19340724,1934-07-24,1934,7,24,Tuesday,2,False,Jul 1934,1934-07
19340725,1934-07-25,1934,7,25,Wednesday,3,False,Jul 1934,1934-07
19340726,1934-07-26,1934,7,26,Thursday,4,False,Jul 1934,1934-07
19340727,1934-07-27,1934,7,27,Friday,5,False,Jul 1934,1934-07
19340728,1934-07-28,1934,7,28,Saturday,6,True,Jul 1934,1934-07
19340729,1934-07-29,1934,7,29,Sunday,7,True,Jul 1934,1934-07
19340730,1934-07-30,1934,7,30,Monday,1,False,Jul 1934,1934-07
19340731,1934-07-31,1934,7,31,Tuesday,2,False,Jul 1934,1934-07
19340801,1934-08-01,1934,8,1,Wednesday,3,False,Aug 1934,1934-08
19340802,1934-08-02,1934,8,2,Thursday,4,False,Aug 1934,1934-08
19340803,1934-08-03,1934,8,3,Friday,5,False,Aug 1934,1934-08
19340804,1934-08-04,1934,8,4,Saturday,6,True,Aug 1934,1934-08
19340805,1934-08-05,1934,8,5,Sunday,7,True,Aug 1934,1934-08
19340806,1934-08-06,1934,8,6,Monday,1,False,Aug 1934,1934-08
19340807,1934-08-07,1934,8,7,Tuesday,2,False,Aug 1934,1934-08
19340808,1934-08-08,1934,8,8,Wednesday,3,False,Aug 1934,1934-08
19340809,1934-08-09,1934,8,9,Thursday,4,False,Aug 1934,1934-08
19340810,1934-08-10,1934,8,10,Friday,5,False,Aug 1934,1934-08
19340811,1934-08-11,1934,8,11,Saturday,6,True,Aug 1934,1934-08
19340812,1934-08-12,1934,8,12,Sunday,7,True,Aug 1934,1934-08
19340813,1934-08-13,1934,8,13,Monday,1,False,Aug 1934,1934-08
19340814,1934-08-14,1934,8,14,Tuesday,2,False,Aug 1934,1934-08
19340815,1934-08-15,1934,8,15,Wednesday,3,False,Aug 1934,1934-08
19340816,1934-08-16,1934,8,16,Thursday,4,False,Aug 1934,1934-08
19340817,1934-08-17,1934,8,17,Friday,5,False,Aug 1934,1934-08
19340818,1934-08-18,1934,8,18,Saturday,6,True,Aug 1934,1934-08
19340819,1934-08-19,1934,8,19,Sunday,7,True,Aug 1934,1934-08
19340820,1934-08-20,1934,8,20,Monday,1,False,Aug 1934,1934-08
19340821,1934-08-21,1934,8,21,Tuesday,2,False,Aug 1934,1934-08
19340822,1934-08-22,1934,8,22,Wednesday,3,False,Aug 1934,1934-08
19340823,1934-08-23,1934,8,23,Thursday,4,False,Aug 1934,1934-08
19340824,1934-08-24,1934,8,24,Friday,5,False,Aug 1934,1934-08
19340825,1934-08-25,1934,8,25,Saturday,6,True,Aug 1934,1934-08
19340826,1934-08-26,1934,8,26,Sunday,7,True,Aug 1934,1934-08
19340827,1934-08-27,1934,8,27,Monday,1,False,Aug 1934,1934-08
19340828,1934-08-28,1934,8,28,Tuesday,2,False,Aug 1934,1934-08
19340829,1934-08-29,1934,8,29,Wednesday,3,False,Aug 1934,1934-08
19340830,1934-08-30,1934,8,30,Thursday,4,False,Aug 1934,1934-08
19340831,1934-08-31,1934,8,31,Friday,5,False,Aug 1934,1934-08
19340901,1934-09-01,1934,9,1,Saturday,6,True,Sep 1934,1934-09
19340902,1934-09-02,1934,9,2,Sunday,7,True,Sep 1934,1934-09
19340903,1934-09-03,1934,9,3,Monday,1,False,Sep 1934,1934-09
19340904,1934-09-04,1934,9,4,Tuesday,2,False,Sep 1934,1934-09
19340905,1934-09-05,1934,9,5,Wednesday,3,False,Sep 1934,1934-09
19340906,1934-09-06,1934,9,6,Thursday,4,False,Sep 1934,1934-09
19340907,1934-09-07,1934,9,7,Friday,5,False,Sep 1934,1934-09
19340908,1934-09-08,1934,9,8,Saturday,6,True,Sep 1934,1934-09
19340909,1934-09-09,1934,9,9,Sunday,7,True,Sep 1934,1934-09
19340910,1934-09-10,1934,9,10,Monday,1,False,Sep 1934,1934-09
19340911,1934-09-11,1934,9,11,Tuesday,2,False,Sep 1934,1934-09
19340912,1934-09-12,1934,9,12,Wednesday,3,False,Sep 1934,1934-09
19340913,1934-09-13,1934,9,13,Thursday,4,False,Sep 1934,1934-09
19340914,1934-09-14,1934,9,14,Friday,5,False,Sep 1934,1934-09
19340915,1934-09-15,1934,9,15,Saturday,6,True,Sep 1934,1934-09
19340916,1934-09-16,1934,9,16,Sunday,7,True,Sep 1934,1934-09
19340917,1934-09-17,1934,9,17,Monday,1,False,Sep 1934,1934-09
19340918,1934-09-18,1934,9,18,Tuesday,2,False,Sep 1934,1934-09
19340919,1934-09-19,1934,9,19,Wednesday,3,False,Sep 1934,1934-09
19340920,1934-09-20,1934,9,20,Thursday,4,False,Sep 1934,1934-09
19340921,1934-09-21,1934,9,21,Friday,5,False,Sep 1934,1934-09
19340922,1934-09-22,1934,9,22,Saturday,6,True,Sep 1934,1934-09
19340923,1934-09-23,1934,9,23,Sunday,7,True,Sep 1934,1934-09
19340924,1934-09-24,1934,9,24,Monday,1,False,Sep 1934,1934-09
19340925,1934-09-25,1934,9,25,Tuesday,2,False,Sep 1934,1934-09
19340926,1934-09-26,1934,9,26,Wednesday,3,False,Sep 1934,1934-09
19340927,1934-09-27,1934,9,27,Thursday,4,False,Sep 1934,1934-09
19340928,1934-09-28,1934,9,28,Friday,5,False,Sep 1934,1934-09
19340929,1934-09-29,1934,9,29,Saturday,6,True,Sep 1934,1934-09
19340930,1934-09-30,1934,9,30,Sunday,7,True,Sep 1934,1934-09
19341001,1934-10-01,1934,10,1,Monday,1,False,Oct 1934,1934-10
19341002,1934-10-02,1934,10,2,Tuesday,2,False,Oct 1934,1934-10
19341003,1934-10-03,1934,10,3,Wednesday,3,False,Oct 1934,1934-10
19341004,1934-10-04,1934,10,4,Thursday,4,False,Oct 1934,1934-10
19341005,1934-10-05,1934,10,5,Friday,5,False,Oct 1934,1934-10
19341006,1934-10-06,1934,10,6,Saturday,6,True,Oct 1934,1934-10
19341007,1934-10-07,1934,10,7,Sunday,7,True,Oct 1934,1934-10
19341008,1934-10-08,1934,10,8,Monday,1,False,Oct 1934,1934-10
19341009,1934-10-09,1934,10,9,Tuesday,2,False,Oct 1934,1934-10
19341010,1934-10-10,1934,10,10,Wednesday,3,False,Oct 1934,1934-10
19341011,1934-10-11,1934,10,11,Thursday,4,False,Oct 1934,1934-10
19341012,1934-10-12,1934,10,12,Friday,5,False,Oct 1934,1934-10
19341013,1934-10-13,1934,10,13,Saturday,6,True,Oct 1934,1934-10
19341014,1934-10-14,1934,10,14,Sunday,7,True,Oct 1934,1934-10
19341015,1934-10-15,1934,10,15,Monday,1,False,Oct 1934,1934-10
19341016,1934-10-16,1934,10,16,Tuesday,2,False,Oct 1934,1934-10
19341017,1934-10-17,1934,10,17,Wednesday,3,False,Oct 1934,1934-10
19341018,1934-10-18,1934,10,18,Thursday,4,False,Oct 1934,1934-10
19341019,1934-10-19,1934,10,19,Friday,5,False,Oct 1934,1934-10
19341020,1934-10-20,1934,10,20,Saturday,6,True,Oct 1934,1934-10
19341021,1934-10-21,1934,10,21,Sunday,7,True,Oct 1934,1934-10
19341022,1934-10-22,1934,10,22,Monday,1,False,Oct 1934,1934-10
19341023,1934-10-23,1934,10,23,Tuesday,2,False,Oct 1934,1934-10
19341024,1934-10-24,1934,10,24,Wednesday,3,False,Oct 1934,1934-10
19341025,1934-10-25,1934,10,25,Thursday,4,False,Oct 1934,1934-10
19341026,1934-10-26,1934,10,26,Friday,5,False,Oct 1934,1934-10
19341027,1934-10-27,1934,10,27,Saturday,6,True,Oct 1934,1934-10
19341028,1934-10-28,1934,10,28,Sunday,7,True,Oct 1934,1934-10
19341029,1934-10-29,1934,10,29,Monday,1,False,Oct 1934,1934-10
19341030,1934-10-30,1934,10,30,Tuesday,2,False,Oct 1934,1934-10
19341031,1934-10-31,1934,10,31,Wednesday,3,False,Oct 1934,1934-10
19341101,1934-11-01,1934,11,1,Thursday,4,False,Nov 1934,1934-11
19341102,1934-11-02,1934,11,2,Friday,5,False,Nov 1934,1934-11
19341103,1934-11-03,1934,11,3,Saturday,6,True,Nov 1934,1934-11
19341104,1934-11-04,1934,11,4,Sunday,7,True,Nov 1934,1934-11
19341105,1934-11-05,1934,11,5,Monday,1,False,Nov 1934,1934-11
19341106,1934-11-06,1934,11,6,Tuesday,2,False,Nov 1934,1934-11
19341107,1934-11-07,1934,11,7,Wednesday,3,False,Nov 1934,1934-11
19341108,1934-11-08,1934,11,8,Thursday,4,False,Nov 1934,1934-11
19341109,1934-11-09,1934,11,9,Friday,5,False,Nov 1934,1934-11
19341110,1934-11-10,1934,11,10,Saturday,6,True,Nov 1934,1934-11
19341111,1934-11-11,1934,11,11,Sunday,7,True,Nov 1934,1934-11
19341112,1934-11-12,1934,11,12,Monday,1,False,Nov 1934,1934-11
19341113,1934-11-13,1934,11,13,Tuesday,2,False,Nov 1934,1934-11
19341114,1934-11-14,1934,11,14,Wednesday,3,False,Nov 1934,1934-11
19341115,1934-11-15,1934,11,15,Thursday,4,False,Nov 1934,1934-11
19341116,1934-11-16,1934,11,16,Friday,5,False,Nov 1934,1934-11
19341117,1934-11-17,1934,11,17,Saturday,6,True,Nov 1934,1934-11
19341118,1934-11-18,1934,11,18,Sunday,7,True,Nov 1934,1934-11
19341119,1934-11-19,1934,11,19,Monday,1,False,Nov 1934,1934-11
19341120,1934-11-20,1934,11,20,Tuesday,2,False,Nov 1934,1934-11
19341121,1934-11-21,1934,11,21,Wednesday,3,False,Nov 1934,1934-11
19341122,1934-11-22,1934,11,22,Thursday,4,False,Nov 1934,1934-11
19341123,1934-11-23,1934,11,23,Friday,5,False,Nov 1934,1934-11
19341124,1934-11-24,1934,11,24,Saturday,6,True,Nov 1934,1934-11
19341125,1934-11-25,1934,11,25,Sunday,7,True,Nov 1934,1934-11
19341126,1934-11-26,1934,11,26,Monday,1,False,Nov 1934,1934-11
19341127,1934-11-27,1934,11,27,Tuesday,2,False,Nov 1934,1934-11
19341128,1934-11-28,1934,11,28,Wednesday,3,False,Nov 1934,1934-11
19341129,1934-11-29,1934,11,29,Thursday,4,False,Nov 1934,1934-11
19341130,1934-11-30,1934,11,30,Friday,5,False,Nov 1934,1934-11
19341201,1934-12-01,1934,12,1,Saturday,6,True,Dec 1934,1934-12
